date,election_type,level,election_name,registration,registration_basis,total_turnout,total_turnout_class,turnout_pct,night_of_count,night_count_class,night_observed_at,night_pct_of_final,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source,sources_record_id
1859-09-07,Gubernatorial + Municipal,both,Governor; Mayor (Teschemacher) + city offices,,,10889,news-derived complete count,,3068,lower bound (only part of the count could be extracted; the true night count is higher),1859-09-08T03:00:00,28.2,,,,"Daily Alta 1859-09-08 polled statement 10,889 (news-derived final)","Daily Alta California 1859-09-08 'CITY ITEMS. / The Election.' (DAC18590908.2.17): midnight per-district straight-ticket counts, sum 3,068 with D1 = 374",,,1859-09-07
1860-11-06,Presidential,statewide,President,,,14419,news-derived complete count,,9224,actual count as reported by the source,1860-11-07T00:00:00,64.0,,,,"Daily Alta 1860-11-07 votes-cast statement 14,415 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1860-11-07 'Returns at Midnight': Lincoln 4,434 / Douglas 2,562 / Breckinridge 1,666 / Bell 562 = 9,224 counted",,,1860-11-06
1861-05-21,Municipal,municipal,Mayor (Teschemacher re-elected),,,11507,news-derived complete count,,6423,actual count as reported by the source,1861-05-22T03:00:00,55.8,,,,Daily Alta 1861-05-23 complete total (news-derived final),Daily Alta California 1861-05-22 'Election Returns at Midnight.' (DAC18610522.2.3): 10 of 12 districts counted or complete by 2:30 AM,,,1861-05-21
1861-09-04,Gubernatorial,statewide,Governor,,,15294,news-derived complete count,,15053,lower bound (only part of the count could be extracted; the true night count is higher),1861-09-05T02:30:00,98.4,,,,"Daily Alta 1861-09-05 aggregate-vote statement 15,294 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1861-09-05: 'Latest -- 2 1/2 A.M. GUBERNATORIAL VOTE OF THE CITY. Stanford 10,700 / Conness 3,121 / McConnell 1,",,,1861-09-04
1862-09-03,General,statewide,Supt. Public Instruction + Legislature,,,8813,single-contest floor (a lower bound on ballots cast),,6172,lower bound (only part of the count could be extracted; the true night count is higher),1862-09-04T03:00:00,70.0,,,,Daily Alta 1862-09-06 contest sum,"Daily Alta California 1862-09-04 'The Election. / The Returns.' (DAC18620904.2.3): 'At midnight, canvassers in most of the Districts had not finished counting the straight tickets'",,,1862-09-03
1863-05-19,Municipal,municipal,Mayor (Coon),,,11417,news-derived complete count,,6225,lower bound (only part of the count could be extracted; the true night count is higher),1863-05-20T03:00:00,54.5,,,,"Daily Alta total-cast statement 11,417 (news-derived final)","Daily Alta California 1863-05-20 'CITY ELECTION RETURNS 1863' (DAC18630520.2.6, status .2.8): Mayor contest floor Coon 3,595 + Holland 2,630 = 6,225",,,1863-05-19
1863-09-02,Gubernatorial,statewide,Governor,,,14866,news-derived complete count,,8900,lower bound (only part of the count could be extracted; the true night count is higher),1863-09-03T03:00:00,59.9,,,,"Alta 1863-09-03 polled statement, operator-read (official contest sum 14,723 corroborates)","Daily Alta California 1863-09-03 'Returns up to Two o'Clock.' (DAC18630903.2.4): Low/Downey counted per district 'as far as ascertainable ... at two o'clock this morning', sum ~8,900 APPROXIMATE FLOOR",,,1863-09-02
1864-05-17,Municipal,municipal,"City offices — Municipal Reports official total 10,847; absent from all prior indexes (2026-07-08)",,,10847,single-contest floor (a lower bound on ballots cast),,7230,lower bound (only part of the count could be extracted; the true night count is higher),1864-05-18T03:00:00,66.7,,,,"Municipal Reports official: 10,847","Daily Alta California 1864-05-18 'Election Returns, May Seventeenth' (DAC18640518.2.4/.2.5): Sheriff contest floor Davis 5,377 + Weller 1,853 = 7,230",,,1864-05-17
1864-11-08,Presidential,statewide,President + Congress,,,21030,news-derived complete count,,21024,actual count as reported by the source,1864-11-09T03:00:00,100.0,,,,Daily Alta 1864-11-09 complete unofficial count (news-derived final),"Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1864-11-09 p2: 'The total vote was 21,024. Of these the Unionists polled 12,667, and the McClellanites 8,357. Th",,,1864-11-08
1865-05-16,Municipal,municipal,Mayor (Coon re-elected),,,14196,news-derived complete count,,8977,lower bound (only part of the count could be extracted; the true night count is higher),1865-05-17T03:00:00,63.2,,,,"Daily Alta Sept 1865 retrospective citywide ballots 14,196 (news-derived final)","Daily Alta California 1865-05-17 'City Election, May 16' (DAC18650517.2.6/.2.5): Sheriff contest floor Davis 5,010 + Bluxome 3,967 = 8,977",,,1865-05-16
1865-09-06,General,statewide,Legislature,,,13354,news-derived complete count,,8264,lower bound (only part of the count could be extracted; the true night count is higher),1865-09-07T03:00:00,61.9,,,,Daily Alta 1865-09-07 printed citywide total (news-derived final),"Daily Alta California 1865-09-07 'ELECTION RETURNS. SEPTEMBER 6, 1865.' (DAC18650907.2.3/.2.4): table's blank columns operator-identified 2026-07-09 as D6/D8/D9/D10 = exactly the clocked 2:30 AM parti",,,1865-09-06
1866-09-05,Municipal,municipal,"City offices — Municipal Reports official total 13,371; absent from all prior indexes (2026-07-08)",,,13371,certified / official canvass,,10749,lower bound (only part of the count could be extracted; the true night count is higher),1866-09-06T03:00:00,80.4,,,,"Municipal Reports official: 13,371","Daily Alta California 1866-09-06 'Election Returns. September 5, 1866' (DAC18660906.2.12/.2.2): Chief of Police contest floor wards 2-12, Crowley 5,917 + White 4,832 = 10,749",,,1866-09-05
1867-09-04,Gubernatorial + Municipal,both,Governor; Mayor (McCoppin),,,17472,certified / official canvass,,7324,lower bound (only part of the count could be extracted; the true night count is higher),1867-09-05T03:00:00,41.9,,,,"Municipal Reports official: 17,472",Daily Alta California 1867-09-05 'Local Intelligence' (DAC18670905.2.3): 'Up to 2 A.M. we are able to collect only the following positive returns',,,1867-09-04
1867-10-16,General,statewide,Supt. Public Instruction,,,13871,certified / official canvass,,13771,lower bound (only part of the count could be extracted; the true night count is higher),1867-10-17T03:00:00,99.3,,,,"Municipal Reports official 13,871 (operator ward-sum audit resolved the Alta footing error)","(""Daily Alta California via CDNC, 1867-10-17 complete overnight ward table, RESOLVED BY OPERATOR WARD-SUM AUDIT 2026-07-08: the Alta mis-footed Currey's column by +200",,,1867-10-16
1868-11-03,Presidential,statewide,President + Congress,,,25774,certified / official canvass,,25655,actual count as reported by the source,1868-11-04T03:00:00,99.5,,,,CA SoS Abstract Nov 3 1868,"SF Daily Alta California (NewsBank image scan via SFPL), 1868-11-04 p3 'City and County Election Returns' — COMPLETE ward×precinct canvass",,,1868-11-03
1869-09-01,Municipal,municipal,Mayor (Selby),,,21693,certified / official canvass,,4624,lower bound (only part of the count could be extracted; the true night count is higher),1869-09-02T03:00:00,21.3,,,,"Municipal Reports FY1875-76 p.752 cumulative table: 21,693","Daily Alta California via CDNC, 1869-09-02 ward-by-ward returns (operator hand-read 2026-07-08): straight-ticket ballots counted by press",,,1869-09-01
1870-09-07,General,municipal,"State general — Municipal Reports official total 19,944; absent from all prior indexes (2026-07-08)",,,19944,certified / official canvass,,9746,lower bound (only part of the count could be extracted; the true night count is higher),1870-09-08T03:00:00,48.9,,,,"Municipal Reports official: 19,944","Daily Alta California 1870-09-08 returns table (DAC18700908.2.5, notes .2.7/.2.8), press stamp 'at this hour (3:30 A.M.)', snapshot ~1:30 AM: FULL TABLE OPERATOR-TRANSCRIBED 2026-07-09",,,1870-09-07
1871-09-06,Gubernatorial + Municipal,both,Governor; Mayor (Alvord),,,25094,certified / official canvass,,8535,lower bound (only part of the count could be extracted; the true night count is higher),1871-09-07T03:00:00,34.0,,,,Municipal Reports FY1870-71 p.527 official (operator ruling over two variants),"Daily Alta California 1871-09-07 'TRIUMPHANT VICTORY.' (DAC18710907.2.7/.2.2), per-ward count states stamped 1:48-3:30 AM: OPERATOR-EXTRACTED 2026-07-09 floor = straights counted",,,1871-09-06
1871-10-18,General,statewide,Supt. Public Instruction,,,16177,news-derived complete count,,16133,lower bound (only part of the count could be extracted; the true night count is higher),1871-10-19T03:00:00,99.7,,,,"Daily Alta 1871-10-19 polled total 16,175 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1871-10-19: 'At three o'clock this morning the returns of all the Wards were completed'",,,1871-10-18
1872-11-05,Presidential,statewide,President + Congress,,,23029,certified / official canvass,,22974,lower bound (only part of the count could be extracted; the true night count is higher),1872-11-06T03:00:00,99.8,,,,"CA SoS Statement Nov 5 1872 band 22,996-23,150 (data/provenance/pre1892_certified.md, upper bound)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1872-11-06 'VOTE OF SAN FRANCISCO--COMPLETE': Grant 11,769 + Greeley 11,182 + O'Conor 23 = 22,974 counted overni",,,1872-11-05
1873-09-03,General + Municipal,both,Legislature; Mayor (Otis),,,26198,certified / official canvass,,2393,lower bound (only part of the count could be extracted; the true night count is higher),1873-09-04T02:00:00,9.1,,,,"Official declaration, Municipal Reports FY1872-73 p.555: 26,198","Daily Alta California via CDNC, 1873-09-04 'LATEST. Returns Up to 2 O'clock A.M.' per-precinct fragments (operator hand-read 2026-07-08, all listed precincts): conservative sum of stated 'votes counte",,,1873-09-03
1873-10-15,Special,municipal,"Judicial election — Municipal Reports official total 15,594; absent from all prior indexes (2026-07-08)",,,15594,certified / official canvass,,15594,actual count as reported by the source,1873-10-16T03:00:00,100.0,,,,"Municipal Reports official: 15,594","Daily Alta California 1873-10-16 'THE JUDICIAL ELECTION.' (DAC18731016.2.14/.2.15/.2.10): 'Complete Returns from the City' precinct table from official returns, boxes 'under lock and key at twenty min",,,1873-10-15
1875-09-01,Gubernatorial + Municipal,both,Governor; Mayor (Bryant),,,25653,certified / official canvass,,25534,actual count as reported by the source,1875-09-02T06:00:00,99.5,,,,CA State Archives Abstract Sept 1 1875,"SF Daily Evening Post (NewsBank image scan via SFPL), 1875-09-02 p2 'THE ELECTION' (Second Edition 6:30 PM) — COMPLETE precinct-by-precinct SF Governor returns, all 12 wards",,,1875-09-01
1875-10-20,General,statewide,Supt. Public Instruction,,,17050,news-derived complete count,,16635,lower bound (only part of the count could be extracted; the true night count is higher),1875-10-21T03:00:00,97.6,,,,"Daily Alta 1875-10-21 printed Total Vote 17,044 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1875-10-21 'A GRAND RESULT': Carr 9,166 + Fitzgerald 7,469 = 16,635 (majority 1,697 checks), 'Total Vote 17,044'",,,1875-10-20
1876-11-07,Presidential,statewide,President + Congress,,,41646,certified / official canvass,,41571,actual count as reported by the source,1876-11-08T05:00:00,99.8,,,,CA SoS Statement Nov 7 1876,"SF Daily Evening Post (NewsBank image scan via SFPL), 1876-11-08 p3 'THE CITY' First Edition — COMPLETE returns all 12 wards: Hayes 21,133 + Tilden 20,687 = 41,820",,,1876-11-07
1877-09-05,General + Municipal,both,Legislature; Mayor (Bryant re-elected),,,33663,certified / official canvass,,5965,lower bound (only part of the count could be extracted; the true night count is higher),1877-09-06T02:45:00,17.7,,,,"Official canvass, Municipal Reports FY1876-77 p.1055 (Res. 11,206): 33,663","Daily Alta California via CDNC, 1877-09-06 'Returns' at 2:45 A.M. (operator hand-read 2026-07-08): the full six-candidate Mayor field Bryant 1,141 + Ashbury 935 + Kaplan 910 + Reynolds 930 + Agnew 995",,,1877-09-05
1877-10-17,Special,municipal,"Judicial election — official canvass Res. 11,450 total 22,942; absent from all prior indexes (2026-07-08)",,,22942,certified / official canvass,,23332,actual count as reported by the source,1877-10-18T03:00:00,101.7,,,,"Official canvass Res. 11,450, Municipal Reports FY1876-77 p.1057: 22,942",Daily Alta California 1877-10-18 'THE JUDICIAL ELECTION' (DAC18771018.2.14): 'The Complete Vote From All the Wards',,,1877-10-17
1878-06-19,Special,statewide,Delegates to the 1878-79 state Constitutional Convention,,,27098,certified / official canvass,,6000,lower bound (only part of the count could be extracted; the true night count is higher),1878-06-20T03:00:00,22.1,,,,"Registrar cumulative table official total 27,098 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1878-06-20 'THE ELECTION.' (DAC18780620.2.16, corroboration .2.4): 'About 27,000 Votes Polled. Only a Small Number Counted ... Up to the hour of going to press, about 6,000 votes",,,1878-06-19
1879-05-07,Special,statewide,Ratification of the 1879 Constitution,,,38034,certified / official canvass,,38584,actual count as reported by the source,1879-05-08T03:00:00,101.4,,,,"Registrar cumulative table official total 38,034 (data/sources/sf_turnout_pre1899.csv)",Daily Alta California 1879-05-08 'YESTERDAY'S ELECTION. / The City Returns.' (DAC18790508.2.16): full precinct For/Against table 'in accordance with the official returns furnished at the Registrar's o,,,1879-05-07
1879-09-03,Gubernatorial + Municipal,both,Governor (1879 Constitution); Mayor (Kalloch) — 1st under 1879 Constitution,44765,as recorded for this election,41575,certified / official canvass,92.9,1013,lower bound (only part of the count could be extracted; the true night count is higher),1879-09-04T03:00:00,2.4,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 41,575 ballots (data/sources/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1879-09-04 (section DAC18790904.2.11): 1am bellwether slice Perkins 514 + White 417 + Glenn 82 = 1,013",,,1879-09-03
1880-03-30,Charter,municipal,"Board of Freeholders (draft new charter) — registrar cumulative table (vol47 p.277): 30,877 votes",,,30877,certified / official canvass,,20271,actual count as reported by the source,1880-03-31T03:00:00,65.7,,,,"Registrar cumulative table official total 30,877 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1880-03-31 '6093 MAJORITY' (DAC18800331.2.11): 'Total vote counted, 20,271' at MIDNIGHT (Citizens 12,360 + Sand-lot 7,911, both sums exact)",,,1880-03-30
1880-09-08,Charter,municipal,"Proposed new charter — REJECTED; dated Sept 8 1880 by the registrar cumulative table (vol47 p.277): 23,398 votes",,,23398,certified / official canvass,,22732,actual count as reported by the source,1880-09-09T03:00:00,97.2,,,,"Registrar cumulative table official total 23,398 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1880-09-09 'BEATEN' (DAC18800909.2.8): For 4,057 + Against 18,675 = 22,732",,,1880-09-08
1880-11-02,Presidential,statewide,President + Congress + Legislature,43775,as recorded for this election,41292,certified / official canvass,94.3,24128,lower bound (only part of the count could be extracted; the true night count is higher),1880-11-03T03:00:00,58.4,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 41,292 ballots (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1880-11-03 (DAC18801103.2.12), press-time 12-ward table OPERATOR-TRANSCRIBED 2026-07-09: President contest computed 11,100 (Garfield) + 12,701 (Hancock) + 327 (Weaver) = 24,128 F",,,1880-11-02
1881-09-07,Municipal,municipal,Mayor (Blake) — last September municipal,,,33216,certified / official canvass,,11242,actual count as reported by the source,1881-09-08T03:00:00,33.8,,,,"Registrar cumulative table official total 33,216 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1881-09-08 (DAC18810908.2.12/.2.11): 'Full returns up to midnight, from every precinct ... 11,242 votes had been counted' (Blake 6,130 / Howe 5,113, two majorities exact)",,,1881-09-07
1882-11-07,Gubernatorial + Municipal,both,Governor + state officers; Mayor (Bartlett) — 1st November municipal,42135,as recorded for this election,39102,certified / official canvass,92.8,4261,actual count as reported by the source,1882-11-08T02:00:00,10.9,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table (FY1888-89 p.856) SF total vote 39,102 (reg 42,135)","SF Chronicle (NewsBank image scan via SFPL), 1882-11-08 p3 'THE VOTE IN THIS CITY",,,1882-11-07
1883-03-03,Charter,municipal,"Proposed new charter — REJECTED; dated March 3 1883 by the registrar cumulative table (vol47 p.277): 18,764 votes",,,18764,certified / official canvass,,18503,actual count as reported by the source,1883-03-04T03:00:00,98.6,,,,"Registrar cumulative table official total 18,764 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1883-03-04 'IN DOUBT.' (DAC18830304.2.11): ward table OPERATOR-TRANSCRIBED 2026-07-09, For 9,247 + Against 9,256 = 18,503 counted, one precinct out at 3:15 AM",,,1883-03-03
1884-03-18,Special,municipal,"Assemblyman (special) — registrar cumulative table (vol47 p.277): 2,655 votes",,,4984,certified / official canvass,,4968,actual count as reported by the source,1884-03-18T22:00:00,99.7,,,,"FY1883-84 Municipal Reports certified canvass (sanfranciscomuni83sanfrich pp.172-173): Wallace 2,655 + Hawes 2,250 + Ellis 69 + scattering 6 = 4,984","Daily Alta California 1884-03-19 (DAC18840319.2.58/.2.58.1, found via date-scoped search, TOC empty): COMPLETE count by ~10 PM of the district's full 41-precinct geography",,,1884-03-18
1884-11-04,Presidential + Municipal,both,President + Congress + Legislature; Mayor (Bartlett re-elected),50542,as recorded for this election,47535,certified / official canvass,94.1,5056,lower bound (only part of the count could be extracted; the true night count is higher),1884-11-05T03:00:00,10.6,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 47,535 ballots (data/sources/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1884-11-05 'VOTE OF THE CITY' (section DAC18841105.2.2.2): 'At midnight there were only six complete precincts received'",,,1884-11-04
1886-11-02,Gubernatorial + Municipal,both,Governor + state officers; Mayor (Pond),48792,as recorded for this election,45716,certified / official canvass,93.7,3070,lower bound (only part of the count could be extracted; the true night count is higher),1886-11-03T03:00:00,6.7,,,"SF Municipal Reports FY1888-89 (Registrar master table, p.856)","Certified SF denominator 45,716 (data/provenance/pre1892_certified.md)","Daily Alta California 1886-11-03 (DAC18861103.2.2.18/.2.2.20): 'votes counted up to 1 o'clock this morning': Mayor contest floor Pond 1,693 + Doble 1,244 + Hinton 133 = 3,070",,,1886-11-02
1887-04-12,Charter,municipal,"Amendments and proposed charter — REJECTED; dated April 12 1887 by the registrar cumulative table (vol47 p.277): 25,959 votes",,,25959,certified / official canvass,,23001,actual count as reported by the source,1887-04-13T03:00:00,88.6,,,,"Registrar cumulative table official total 25,959 (data/sources/sf_turnout_pre1899.csv)","Daily Alta California 1887-04-13 (DAC18870413.2.15): 'returns from 159 precincts show ... for the charter 9,697, and against 13,304' = 23,001",,,1887-04-12
1888-11-06,Presidential + Municipal,both,President + Congress + Legislature; Mayor (Pond re-elected),58549,as recorded for this election,55313,certified / official canvass,94.5,6290,lower bound (only part of the count could be extracted; the true night count is higher),1888-11-07T03:00:00,11.4,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 55,313 ballots (data/sources/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1888-11-07 'THE CITY'S VOTE' (section DAC18881107.2.5): President slate sums 6,290 across the token overnight slice, counted 'up to midnight'",,,1888-11-06
1890-11-04,Gubernatorial + Municipal,both,Governor + state officers; Mayor (Sanderson),59770,as recorded for this election,55565,certified / official canvass,93.0,56384,lower bound (only part of the count could be extracted; the true night count is higher),1890-11-05T03:00:00,101.5,,,"SF Municipal Reports vol47 Board of Election Commissioners' Report p.277 cumulative table (mirror/muni_reports/vol47_n320.jpg, operator hand-read 2026-07-07): Nov 4 1890 general, 310 precincts, regist","Registrar cumulative table official total 55,565 (data/sources/sf_turnout_pre1899.csv)","SF Call 1890-11-05 'THE STATE.' (SFC18901105.2.15): 'The aggregate of ballots cast yesterday in this city is 56,384, of which there were: Republicans, 29,065",,,1890-11-04
1892-11-08,Presidential + Municipal,both,President + Congress + Legislature; Mayor (Ellert),67849,as recorded for this election,58435,certified / official canvass,86.1,39000,actual count as reported by the source,1892-11-09T03:00:00,66.7,,,SF Municipal Reports Dept. of Elections cumulative registration-and-votes table,CA SoS Statement of Vote 1892 (statementofvoteo1886cali p.3),"SF Chronicle (NewsBank image scan via SFPL), 1892-11-09 p3 'Vote of the City' — PROSE only",,,1892-11-08
1894-11-06,Gubernatorial + Municipal,both,Governor + state officers; Mayor (Sutro),68039,as recorded for this election,59643,certified / official canvass,87.7,33899,actual count as reported by the source,1894-11-07T03:00:00,56.8,,,Municipal Reports cumulative table,California Blue Book / State Roster 1895 p.254,"SF Chronicle (NewsBank image scan via SFPL), 1894-11-07 p9 'Vote of the City' (12:30am)",,,1894-11-06
1896-11-03,Presidential + Municipal,both,President + Congress + Legislature; Mayor (Phelan),72992,as recorded for this election,63086,certified / official canvass,86.4,51939,actual count as reported by the source,1896-11-04T03:00:00,82.3,,,Municipal Reports cumulative table,CA SoS Statement of Vote 1896 (statementofvoteo1886cali p.3),"SF Chronicle (NewsBank image scan via SFPL), 1896-11-04 p9 (SF returns section)",,,1896-11-03
1897-12-27,Charter,municipal,Board of Freeholders (draft new charter),72782,as recorded for this election,26202,certified / official canvass,36.0,24000,lower bound (only part of the count could be extracted; the true night count is higher),1897-12-28T03:00:00,91.6,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 26,202 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call 1897-12-28 p7 'PHELAN BOARD PROBABLY MAKE IT.' (SFC18971228.1.7): 'With complete returns from thirty-two precincts and incomplete from sixty-two ... total vote of about 24,000'",,,1897-12-27
1898-05-26,Charter,municipal,New (1898/1900) Charter RATIFIED,73140,as recorded for this election,26969,certified / official canvass,36.9,26963,actual count as reported by the source,1898-05-27T03:00:00,100.0,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 26,969 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1898-05-27 p12 'A SMALL MAJORITY FOR THE CHARTER' (section SFC18980527.2.96): 'The total vote cast yesterday was 26,963'",,,1898-05-26
1898-11-08,Gubernatorial + Municipal,both,"Governor + state officers; Mayor (Phelan re-elected), consolidated onto the state ballot (no separate Nov 1 municipal election; Municipal Reports cumulative table)",62965,as recorded for this election,54372,certified / official canvass,86.4,40585,actual count as reported by the source,1898-11-09T03:00:00,74.6,,,Municipal Reports cumulative table,California Blue Book / State Roster 1899 p.227,"SF Chronicle (NewsBank image scan via SFPL), 1898-11-09 p1",,,1898-11-08
1899-08-08,Primary,municipal,Municipal primary — registrar cumulative table,62410,as recorded for this election,32521,certified / official canvass,52.1,30479,lower bound (only part of the count could be extracted; the true night count is higher),1899-08-09T03:00:00,93.7,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.260","Registrar cumulative table official total 32,521 (data/sources/sf_turnout_registrar_1899_1916.csv)",SF Call 1899-08-09 p12 'RETURNS BY DISTRICTS. Number of Votes Cast,,,1899-08-08
1899-11-07,Municipal,municipal,Mayor (Phelan) — 1st under 1898 charter,71786,as recorded for this election,51965,certified / official canvass,72.4,35055,lower bound (only part of the count could be extracted; the true night count is higher),1899-11-08T03:00:00,67.5,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 51,965 ballots (data/sources/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1899-11-08 p1 'THE COUNT.' (section SFC18991108.2.2.2), timestamped 2:15am, all but fifteen precincts reporting (hand-count era, precinct returns themselves partial):",,,1899-11-07
