date,election_type,registration,total_turnout,night_of_count,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source
1879-05-07,Special,,38034,38584,,,,"Registrar cumulative table official total 38,034 (data/sf_turnout_pre1899.csv)",Daily Alta California 1879-05-08 'YESTERDAY'S ELECTION. / The City Returns.' (DAC18790508.2.16): full precinct For/Against table 'in accordance with the official returns furnished at the Registrar's o,,
1879-09-03,Gubernatorial + Municipal,44765,41575,1013,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 41,575 ballots (data/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1879-09-04 (section DAC18790904.2.11): 1am bellwether slice Perkins 514 + White 417 + Glenn 82 = 1,013 [partial or contest-sum floor - a lower bound]",,
1880-03-30,Charter,,30877,20271,,,,"Registrar cumulative table official total 30,877 (data/sf_turnout_pre1899.csv)","Daily Alta California 1880-03-31 '6093 MAJORITY' (DAC18800331.2.11): 'Total vote counted, 20,271' at MIDNIGHT (Citizens 12,360 + Sand-lot 7,911, both sums exact)",,
1880-09-08,Charter,,23398,22732,,,,"Registrar cumulative table official total 23,398 (data/sf_turnout_pre1899.csv)","Daily Alta California 1880-09-09 'BEATEN' (DAC18800909.2.8): For 4,057 + Against 18,675 = 22,732",,
1880-11-02,Presidential,43775,41292,24128,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 41,292 ballots (data/sf_turnout_pre1899.csv)","Daily Alta California 1880-11-03 (DAC18801103.2.12), press-time 12-ward table OPERATOR-TRANSCRIBED 2026-07-09: President contest computed 11,100 (Garfield) + 12,701 (Hancock) + 327 (Weaver) = 24,128 F [partial or contest-sum floor - a lower bound]",,
1881-09-07,Municipal,,33216,11242,,,,"Registrar cumulative table official total 33,216 (data/sf_turnout_pre1899.csv)","Daily Alta California 1881-09-08 (DAC18810908.2.12/.2.11): 'Full returns up to midnight, from every precinct ... 11,242 votes had been counted' (Blake 6,130 / Howe 5,113, two majorities exact)",,
1882-11-07,Gubernatorial + Municipal,42135,39102,4261,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table (FY1888-89 p.856) SF total vote 39,102 (reg 42,135)","SF Chronicle (NewsBank image scan via SFPL), 1882-11-08 p3 'THE VOTE IN THIS CITY",,
1883-03-03,Charter,,18764,18503,,,,"Registrar cumulative table official total 18,764 (data/sf_turnout_pre1899.csv)","Daily Alta California 1883-03-04 'IN DOUBT.' (DAC18830304.2.11): ward table OPERATOR-TRANSCRIBED 2026-07-09, For 9,247 + Against 9,256 = 18,503 counted, one precinct out at 3:15 AM",,
1884-03-18,Special,,4984,4968,,,,"FY1883-84 Municipal Reports certified canvass (sanfranciscomuni83sanfrich pp.172-173): Wallace 2,655 + Hawes 2,250 + Ellis 69 + scattering 6 = 4,984","Daily Alta California 1884-03-19 (DAC18840319.2.58/.2.58.1, found via date-scoped search, TOC empty): COMPLETE count by ~10 PM of the district's full 41-precinct geography",,
1884-11-04,Presidential + Municipal,50542,47535,5056,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 47,535 ballots (data/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1884-11-05 'VOTE OF THE CITY' (section DAC18841105.2.2.2): 'At midnight there were only six complete precincts received' [partial or contest-sum floor - a lower bound]",,
1886-11-02,Gubernatorial + Municipal,48792,45716,3070,,,"SF Municipal Reports FY1888-89 (Registrar master table, p.856)","Certified SF denominator 45,716 (data/pre1892_certified.md)","Daily Alta California 1886-11-03 (DAC18861103.2.2.18/.2.2.20): 'votes counted up to 1 o'clock this morning': Mayor contest floor Pond 1,693 + Doble 1,244 + Hinton 133 = 3,070 [partial or contest-sum floor - a lower bound]",,
1887-04-12,Charter,,25959,23001,,,,"Registrar cumulative table official total 25,959 (data/sf_turnout_pre1899.csv)","Daily Alta California 1887-04-13 (DAC18870413.2.15): 'returns from 159 precincts show ... for the charter 9,697, and against 13,304' = 23,001",,
1888-11-06,Presidential + Municipal,58549,55313,6290,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports Registrar master table: certified 55,313 ballots (data/sf_turnout_pre1899.csv)","Daily Alta California via CDNC (cdnc.ucr.edu), 1888-11-07 'THE CITY'S VOTE' (section DAC18881107.2.5): President slate sums 6,290 across the token overnight slice, counted 'up to midnight' [partial or contest-sum floor - a lower bound]",,
1890-11-04,Gubernatorial + Municipal,59770,55565,56384,,,"SF Municipal Reports vol47 Board of Election Commissioners' Report p.277 cumulative table (mirror/muni_reports/vol47_n320.jpg, operator hand-read 2026-07-07): Nov 4 1890 general, 310 precincts, regist","Registrar cumulative table official total 55,565 (data/sf_turnout_pre1899.csv)","SF Call 1890-11-05 'THE STATE.' (SFC18901105.2.15): 'The aggregate of ballots cast yesterday in this city is 56,384, of which there were: Republicans, 29,065 [partial or contest-sum floor - a lower bound]",,
1892-11-08,Presidential + Municipal,67849,58435,39000,,,SF Municipal Reports Dept. of Elections cumulative registration-and-votes table,CA SoS Statement of Vote 1892 (statementofvoteo1886cali p.3),"SF Chronicle (NewsBank image scan via SFPL), 1892-11-09 p3 'Vote of the City' — PROSE only",,
1894-11-06,Gubernatorial + Municipal,68039,59643,33899,,,Municipal Reports cumulative table,California Blue Book / State Roster 1895 p.254,"SF Chronicle (NewsBank image scan via SFPL), 1894-11-07 p9 'Vote of the City' (12:30am)",,
1896-11-03,Presidential + Municipal,72992,63086,51939,,,Municipal Reports cumulative table,CA SoS Statement of Vote 1896 (statementofvoteo1886cali p.3),"SF Chronicle (NewsBank image scan via SFPL), 1896-11-04 p9 (SF returns section)",,
1897-12-27,Charter,72782,26202,24000,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 26,202 ballots (data/sf_turnout_1891_1907.csv)","SF Call 1897-12-28 p7 'PHELAN BOARD PROBABLY MAKE IT.' (SFC18971228.1.7): 'With complete returns from thirty-two precincts and incomplete from sixty-two ... total vote of about 24,000' [partial or contest-sum floor - a lower bound]",,
1898-05-26,Charter,73140,26969,26963,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 26,969 ballots (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1898-05-27 p12 'A SMALL MAJORITY FOR THE CHARTER' (section SFC18980527.2.96): 'The total vote cast yesterday was 26,963'",,
1898-11-08,Gubernatorial + Municipal,62965,54372,40585,,,Municipal Reports cumulative table,California Blue Book / State Roster 1899 p.227,"SF Chronicle (NewsBank image scan via SFPL), 1898-11-09 p1",,
1899-08-08,Primary,62410,32521,30479,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.260","Registrar cumulative table official total 32,521 (data/sf_turnout_registrar_1899_1916.csv)",SF Call 1899-08-09 p12 'RETURNS BY DISTRICTS. Number of Votes Cast [partial or contest-sum floor - a lower bound],,
1899-11-07,Municipal,71786,51965,35055,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 51,965 ballots (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1899-11-08 p1 'THE COUNT.' (section SFC18991108.2.2.2), timestamped 2:15am, all but fifteen precincts reporting (hand-count era, precinct returns themselves partial): [partial or contest-sum floor - a lower bound]",,
1899-12-27,Special,70681,29972,29958,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports cumulative table: certified 29,972 ballots (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1899-12-28 (section SFC18991228.2.5.2): printed total votes cast 29,958, operator hand-read of the page image 2026-07-07 settling the 3/5 OCR ambiguity in agreement wi",,
1899-12-29,Special,70726,22331,22322,,,recovered canvass records (data/sf_archival_canvass_points.csv),DOE turnout table row,"SF Examiner via ProQuest (SFPL ezproxy, publication 2069514 covering 1889-1902), 1899-12-30 p1 'VICTORY FOR THE CHAMPIONS OF CITY PROGRESS' THE VOTE table (docview 2132356675): 18 assembly-district ro",,
1900-11-06,Presidential,73633,63202,36646,,,Municipal Reports cumulative table,California Blue Book / State Roster 1903 pp.311-314,"SF Chronicle (NewsBank image scan via SFPL), 1900-11-07 p9 (SF returns section, 'Pages 9 to 16')",,
1901-08-13,Primary,76192,22939,22898,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.260","Registrar cumulative table official total 22,939 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1901-08-14 p1 (SFC19010814.2.2.1): 'The total vote cast in the 106 precincts yesterday was 22,898. Of this number the Republicans cast 19,021, the Democrats 3633 and the Socialists 244'",,
1901-11-05,Municipal,77890,53746,38982,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 53,746 ballots (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1901-11-06 'INCOMPLETE RETURNS OF THE LOCAL ELECTION AS COMPILED TO 1:30 THIS MORNING' (section SFC19011106.2.7): Mayor 4-candidate sum 38,982 [partial or contest-sum floor - a lower bound]",,
1902-08-12,Primary,51726,28697,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",,,
1902-11-04,Gubernatorial,70716,60067,0,,,Municipal Reports cumulative table,California Blue Book / State Roster 1903 p.332,"SF Chronicle (NewsBank image scan via SFPL), 1902-11-05 p1 'Only a Small Percentage of the Votes Counted Up to Midnight' — SF Governor row BLANK (no SF count by the morning paper)",,
1902-12-02,Special,70764,26612,26454,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports): certified 26,612 ballots","SF Call via CDNC (cdnc.ucr.edu), 1902-12-03 (section SFC19021203.2.128): For 15,120 + Against 11,334 = 26,454 used as the conservative floor",,
1902-12-04,Special,70764,14271,14167,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports cumulative table: certified 14,271 ballots per vols 53/55 (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1902-12-05 'ONE AMENDMENT SUFFERS DEFEAT' (section SFC19021205.2.52): printed 'Only 14,167 votes were cast' - 104 below certified",,
1903-08-11,Primary,73280,26039,26021,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 26,039 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1903-08-12 p4 (SFC19030812.2.37.1): 'The official figures at the Registrar's office place the number at 26,021' = exact party sum 13,306 R + 7,443 D + 5,066 UL + 206 Soc",,
1903-09-29,Special,73540,27308,27234,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports): certified 27,308 ballots","SF Call via CDNC (cdnc.ucr.edu), 1903-09-30 'PEOPLE INDORSE BOND IMPROVEMENTS' (section SFC19030930.2.60): 'total number of votes polled, which was 27,234' (stated twice) - 74 below certified",,
1903-10-08,Special,73702,25276,25259,,,recovered canvass records (data/sf_archival_canvass_points.csv),"DOE turnout table row (cross-verified against Municipal Reports, printed 25,276): certified 25,276 ballots","SF Call via CDNC (cdnc.ucr.edu), 1903-10-09 'ELECTORS DECLARE OVERWHELMINGLY AGAINST THE GEARY-STREET BOND ISSUE' (section SFC19031009.2.129): 'out of a total of 25,259'",,
1903-11-03,Municipal,79684,59824,39326,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 59,824 ballots (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1903-11-04 Registrar's Office table 'up to 1 o'clock this morning' (section SFC19031104.2.76): Mayor sum 39,326 [partial or contest-sum floor - a lower bound]",,
1904-05-03,Primary,32721,9384,9370,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 9,384 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1904-05-04 p4 (SFC19040504.2.22): 'The total vote cast was 9370, of which 6705 were Republican and 2647 Democratic'",,
1904-08-09,Primary,50708,18141,17914,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 18,141 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1904-08-10 p4 (SFC19040810.2.48.2): semi-official 17,914, 'returns in Precinct 109, Forty-fourth District lacking'",,
1904-11-08,Presidential,81576,65427,48957,,,Municipal Reports cumulative table,California Blue Book / State Roster 1907 pp.419-422,"SF Chronicle (NewsBank image scan via SFPL), 1904-11-09 p9 (SF returns section)",,
1905-08-08,Primary,87062,41117,38120,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco65sanfrich p.331","Election Commissioners official declaration 1905-08-14 (SF Call 1905-08-15 p10, SFC19050815.2.110): total 41,117 (R 31,728 + D 3,732 + Soc 319 + UL 4,500 + scattering 838), all columns foot exactly","SF Call 1905-08-09 p2 'SUMMARY OF THE VOTE' (SFC19050809.2.8.3/.2.8.5): 2 AM compilation TOTAL 38,120, foots exactly",,
1905-11-07,Municipal,97670,71033,71033,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Call E+1 complete count 71,033, promoted by operator decision over the Municipal Reports rounded fire-era estimate of 72,000 (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1905-11-08 'SCHMITZ'S LEAD IS OVER 10,000' (section SFC19051108.2.2.3): printed 'Total vote cast: 71,033' with Schmitz 40,191 + Partridge 28,687 + Castner 1,686",,
1906-08-14,Primary,22026,10824,10554,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 10,824 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1906-08-15 pp1-2 (SFC19060815.2.9): 'total registration ... 22,026, and the total vote polled 10,554, with the Thirty-fourth Precinct of the Thirty-seventh to be heard from'",,
1906-11-06,Gubernatorial,51633,38564,37287,,,recovered canvass records (data/sf_archival_canvass_points.csv),"SF Municipal Reports FY1907-08 cumulative table: certified 38,564 ballots, 129 precincts (data/sf_turnout_1891_1907.csv)","SF Call via CDNC (cdnc.ucr.edu), 1906-11-07 'Figures Show How City's Citizens Cast Votes' (section SFC19061107.2.10.5), semi-official returns after revision by the Registrar's deputies at midnight, al",,
1907-08-13,Primary,60469,22851,20801,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","Registrar cumulative table official total 22,851 (data/sf_turnout_registrar_1899_1916.csv)","SF Call 1907-08-14 p2 'The Vote by Assembly Districts' (SFC19070814.2.10.3, lead .2.5): 'Total republican vote, 12,019",,
1907-11-05,Municipal,77601,55994,12472,,,"Municipal Reports cumulative table, vol57 p.871","SF Chronicle (NewsBank image scan via SFPL), 1907-11-07 p2 'BRODERICK IS ELECTED' — most-complete Mayor total 55,994 across 269/273 precincts","SF Chronicle (NewsBank image scan via SFPL), 1907-11-06 p1 returns box (10pm) — DEEP HAND-COUNT era",,
1908-05-05,Primary,36564,24178,,,,"SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261","SF Municipal Reports registrar cumulative table ('Registration and votes cast at each Election since the Act of March 18, 1878'): munisanfrancisco62sanfrich p.261",,,
1908-05-11,Special,79000,23560,23550,,,recovered canvass records (data/sf_archival_canvass_points.csv),SF Call 1908-05-12 complete unofficial count,"SF Call via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1908-05-12 p1 'CITIZEN'S APPROVAL TEN TO ONE': 'Out of a total vote of 23,550 the auxiliary water system led with 21,488... A",,
